what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202450359
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202454968
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252202459562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202468812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202476890
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1252202493906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202510109
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202530437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202535906
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202634328
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202640156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202677562
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1252202682906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202694812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202697531
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1252202704578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202709078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202709390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202718156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202721718
started,bundle,org.eclipse.mylyn.java.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.java.ui",1252202758328
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1252202779515
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202780281
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202873265
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252202886406
